sample_id,decimalLatitude,decimalLongitude,eventDate,samp_name,samp_category,neg_cont_type,pos_cont_type,materialSampleID,sample_derived_from,sample_composed_of,rel_cont_id,biological_rep_relation,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,verbatimSRS,geo_loc_name,eventDurationValue,verbatimEventDate,verbatimEventTime,env_broad_scale,env_local_scale,env_medium,habitat_natural_artificial_0_1,samp_collect_method,samp_collect_device,samp_size,samp_size_unit,samp_store_temp,samp_store_sol,samp_store_dur,samp_store_loc,dna_store_loc,samp_store_method_additional,samp_mat_process,filter_passive_active_0_1,stationed_sample_dur,pump_flow_rate,pump_flow_rate_unit,prefilter_material,size_frac_low,size_frac,filter_diameter,filter_surface_area,filter_material,filter_name,precip_chem_prep,precip_force_prep,precip_time_prep,precip_temp_prep,prepped_samp_store_temp,prepped_samp_store_sol,prepped_samp_store_dur,prep_method_additional,date_ext,samp_vol_we_dna_ext,samp_vol_we_dna_ext_unit,nucl_acid_ext_lysis,nucl_acid_ext_sep,nucl_acid_ext,nucl_acid_ext_kit,nucl_acid_ext_modify,dna_cleanup_0_1,dna_cleanup_method,concentration,concentration_unit,concentration_method,ratioOfAbsorbance260_280,pool_dna_num,nucl_acid_ext_method_additional,assay_name,samp_weather,minimumDepthInMeters,maximumDepthInMeters,tot_depth_water_col,elev,temp,chlorophyll,light_intensity,ph,ph_meth,salinity,suspend_part_matter,tidal_stage,turbidity,water_current,solar_irradiance,wind_direction,wind_speed,diss_inorg_carb,diss_inorg_carb_unit,diss_inorg_nitro,diss_inorg_nitro_unit,diss_org_carb,diss_org_carb_unit,diss_org_nitro,diss_org_nitro_unit,diss_oxygen,diss_oxygen_unit,tot_diss_nitro,tot_diss_nitro_unit,tot_inorg_nitro,tot_inorg_nitro_unit,tot_nitro,tot_nitro_unit,tot_part_carb,tot_part_carb_unit,tot_org_carb,tot_org_carb_unit,tot_org_c_meth,tot_nitro_content,tot_nitro_content_unit,tot_nitro_cont_meth,tot_carb,tot_carb_unit,part_org_carb,part_org_carb_unit,part_org_nitro,part_org_nitro_unit,nitrate,nitrate_unit,nitrite,nitrite_unit,nitro,nitro_unit,org_carb,org_carb_unit,org_matter,org_matter_unit,org_nitro,org_nitro_unit,site_id,tube_id,biological_rep,swell_m,filter_device,digestion_personnel,digestion_date,extraction_personnel,extraction_method,sampling_comments,digestion_comments,extraction_comments,time,depth,latitude,longitude,sst,anom,err
11,-28.67171667,111.4407833,2022-11-19,V10_CKI_N_1_4,sample,,,,,,,,111.4407833,-28.67171667,,,Indian Ocean: Eastern Indian Ocean,,19/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5400.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_1,N_1_4,4.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-19 12:00:00,0.0,-28.625,111.375,19.92,-0.83,0.12
12,-28.67171667,111.4407833,2022-11-19,V10_CKI_N_1_5,sample,,,,,,,,111.4407833,-28.67171667,,,Indian Ocean: Eastern Indian Ocean,,19/11/2022,7:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5400.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_1,N_1_5,5.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-19 12:00:00,0.0,-28.625,111.375,19.92,-0.83,0.12
13,,,2022-11-19,V10_CKI_N_1_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_1,N_1_WC,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-19 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
14,,,2022-11-19,V10_CKI_N_1_DI,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_1,N_1_DI,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-19 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
15,,,2022-11-19,V10_CKI_BC_1,negative control,field negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC_1,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-19 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
16,-27.41276667,109.8690333,2022-11-20,V10_CKI_U_2_1,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_2,U_2_1,1.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
17,-27.41276667,109.8690333,2022-11-20,V10_CKI_U_2_2,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_2,U_2_2,2.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
18,-27.41276667,109.8690333,2022-11-20,V10_CKI_U_2_3,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_2,U_2_3,3.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
19,-27.41276667,109.8690333,2022-11-20,V10_CKI_U_2_4,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_2,U_2_4,4.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
20,-27.41276667,109.8690333,2022-11-20,V10_CKI_U_2_5,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,underway in-line,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_2,U_2_5,5.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
21,,,2022-11-20,V10_CKI_U_2_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_2,U_2_WC,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
22,,,2022-11-20,V10_CKI_U_2_DI,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U_2,U_2_DI,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
23,-27.41276667,109.8690333,2022-11-20,V10_CKI_N_2_1,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,1.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,N_2_1,1.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
24,-27.41276667,109.8690333,2022-11-20,V10_CKI_N_2_2,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,N_2_2,2.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
25,-27.41276667,109.8690333,2022-11-20,V10_CKI_N_2_3,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,N_2_3,3.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
26,-27.41276667,109.8690333,2022-11-20,V10_CKI_N_2_4,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,N_2_4,4.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
27,-27.41276667,109.8690333,2022-11-20,V10_CKI_N_2_5,sample,,,,,,,,109.8690333,-27.41276667,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,7:00:00 AM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5669.0,,,,,,,,,,,,,,10.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,N_2_5,5.0,3.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-27.375,109.875,20.02,-1.01,0.12
28,,,2022-11-20,V10_CKI_N_2_WC,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,N_2_WC,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
29,,,2022-11-20,V10_CKI_N_2_DI,negative control,site negative,,,,,,,,,,,,,,,,,,,,,1.0,L,,,,,,,,,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_2,N_2_DI,,,sentino peristaltic,,2022-11-20T00:00:00,,,Project=Project_1,,,2022-11-20 12:00:00,0.0,89.875,359.875,-1.8,0.0,0.29999998
30,-26.8176,109.1271,2022-11-20,V10_CKI_N_3_1,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_3,N_3_1,1.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
31,-26.8176,109.1271,2022-11-20,V10_CKI_N_3_2,sample,,,,,,,,109.1271,-26.8176,,,Indian Ocean: Eastern Indian Ocean,,20/11/2022,1:00:00 PM,ocean biome [ENVO:01000048],,ocean water [ENVO:00002149],,,manual niskin,2.0,L,,,,,,,,1.0,,,,,,0.45,47.0,,cellulose ester,,,,,,,,,,2022-11-21T00:00:00,,,,,,,,,,,,,,,,MiFish-U | 16SFish/D,,10.0,10.0,5537.0,,,,,,,,,,,,,,7.71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_3,N_3_2,2.0,2.0,sentino peristaltic,,2022-11-20T00:00:00,,,EEZ=Inside; Project=Project_1,,,2022-11-20 12:00:00,0.0,-26.875,109.125,19.52,-1.5999999,0.12
