feature,importance,feature_type
species:Coris aygula,0.0,taxonomic
species:Cnidoglanis macrocephalus,0.0,taxonomic
genus:Regalecus,0.0,taxonomic
genus:Scarus,0.0,taxonomic
genus:Scomber,0.0,taxonomic
species:Cetostoma regani,0.0,taxonomic
species:Caranx ignobilis,0.0,taxonomic
species:Brama brama,0.0,taxonomic
genus:Pagrus,0.0,taxonomic
genus:Siganus,0.0,taxonomic
species:Bathophilus pawneei,0.0,taxonomic
genus:Stegastes,0.0,taxonomic
species:Asterropteryx semipunctata,0.0,taxonomic
species:Arripis georgianus,0.0,taxonomic
species:Amblygobius phalaena,0.0,taxonomic
genus:Stomias,0.0,taxonomic
species:Alburnoides bipunctatus,0.0,taxonomic
genus:Tetrosomus,0.0,taxonomic
genus:Thalassoma,0.0,taxonomic
species:Acanthurus dussumieri,0.0,taxonomic
species:Acanthocybium solandri,0.0,taxonomic
order:Scombriformes,0.0,taxonomic
genus:Upeneus,0.0,taxonomic
genus:Pempheris,0.0,taxonomic
genus:Ostorhinchus,0.0,taxonomic
species:Naso lituratus,0.0,taxonomic
species:Halichoeres nebulosus,0.0,taxonomic
species:Myctophum phengodes,0.0,taxonomic
species:Myctophum orientale,0.0,taxonomic
species:Myctophum lychnobium,0.0,taxonomic
species:Melanostomias valdiviae,0.0,taxonomic
species:Melanostomias biseriatus,0.0,taxonomic
genus:Dasyscopelus,0.0,taxonomic
genus:Decapterus,0.0,taxonomic
species:Lethrinus miniatus,0.0,taxonomic
species:Lepidocybium flavobrunneum,0.0,taxonomic
species:Lampanyctus intricarius,0.0,taxonomic
genus:Gigantactis,0.0,taxonomic
genus:Gnatholepis,0.0,taxonomic
species:Hemigymnus fasciatus,0.0,taxonomic
genus:Hemigymnus,0.0,taxonomic
genus:Hypoatherina,0.0,taxonomic
genus:Mobula,0.0,taxonomic
species:Glyptoparus delicatulus,0.0,taxonomic
species:Gigantura indica,0.0,taxonomic
species:Eustomias tomentosis,0.0,taxonomic
species:Eustomias sp.,0.0,taxonomic
species:Epinephelus rivulatus,0.0,taxonomic
species:Epinephelus fasciatus,0.0,taxonomic
species:Ecsenius mandibularis,0.0,taxonomic
species:Echiostoma barbatum,0.0,taxonomic
species:Dysalotus sp.,0.0,taxonomic
species:Diretmichthys parini,0.0,taxonomic
species:Diogenichthys sp.,0.0,taxonomic
species:Diaphus splendidus,0.0,taxonomic
species:Diaphus regani,0.0,taxonomic
genus:Lophotus,0.0,taxonomic
class:Teleostei,0.0,taxonomic
